,image_id,image_url,label,label_numeric,category,gender,age_group,source,fake_method,image_quality,resolution,confidence_score,detection_difficulty,dataset_split,date_collected,version,year,image_path
16,17,https://images.unsplash.com/photo-1724225618500-dc6837308097?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxN3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.85,Easy,train,2026-01-02,v2.0,2026,dataset/working_images/16.jpg
18,19,https://images.unsplash.com/photo-1724225618667-b0e37504f047?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxOXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,18-25,Unsplash,,High,1080x1080,0.98,Easy,train,2026-02-05,v2.0,2026,dataset/working_images/18.jpg
20,21,https://images.unsplash.com/photo-1724225618782-1efa4b0cea18?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyMXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,Medium,1080x1080,0.94,Easy,train,2026-02-10,v2.0,2026,dataset/working_images/20.jpg
21,22,https://images.unsplash.com/photo-1776661154295-ed08a215eb9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyMnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,Medium,1080x1080,0.92,Easy,train,2026-03-22,v2.0,2026,dataset/working_images/21.jpg
22,23,https://images.unsplash.com/photo-1648415041098-cd83c008e75b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyM3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,18-25,Unsplash,,High,1080x1080,0.87,Easy,train,2026-01-30,v2.0,2026,dataset/working_images/22.jpg
23,24,https://images.unsplash.com/photo-1628153277991-7a185ac84511?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyNHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.86,Easy,train,2026-04-29,v2.0,2026,dataset/working_images/23.jpg
25,26,https://images.unsplash.com/photo-1673990318432-5fbeeb4617f6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyNnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,High,1080x1080,0.98,Easy,train,2026-01-17,v2.0,2026,dataset/working_images/25.jpg
26,27,https://images.unsplash.com/photo-1628152901512-e546b79b8768?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyN3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,36-50,Unsplash,,High,1080x1080,0.93,Easy,train,2026-04-29,v2.0,2026,dataset/working_images/26.jpg
27,28,https://images.unsplash.com/photo-1652549751873-169b963ee4a2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyOHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,26-35,Unsplash,,High,1080x1080,0.94,Easy,train,2026-02-22,v2.0,2026,dataset/working_images/27.jpg
28,29,https://images.unsplash.com/photo-1652549751907-4126421aea04?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyOXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.92,Easy,train,2026-02-25,v2.0,2026,dataset/working_images/28.jpg
29,30,https://images.unsplash.com/photo-1652549752120-d9beb4c86bd4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzMHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,50+,Unsplash,,Medium,1080x1080,0.96,Easy,train,2026-04-07,v2.0,2026,dataset/working_images/29.jpg
31,32,https://images.unsplash.com/photo-1755182592821-ebe9c68bd208?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzMnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,18-25,Unsplash,,High,1080x1080,0.96,Easy,train,2026-01-04,v2.0,2026,dataset/working_images/31.jpg
32,33,https://images.unsplash.com/photo-1589552207803-c3247402952a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzM3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,Medium,1080x1080,0.94,Easy,train,2026-01-29,v2.0,2026,dataset/working_images/32.jpg
33,34,https://images.unsplash.com/photo-1652549752260-829ce42eb245?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzNHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,36-50,Unsplash,,High,1080x1080,0.88,Easy,train,2026-01-12,v2.0,2026,dataset/working_images/33.jpg
35,36,https://images.unsplash.com/photo-1705940372495-ab4ed45d3102?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzNnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.89,Easy,train,2026-02-17,v2.0,2026,dataset/working_images/35.jpg
36,37,https://images.unsplash.com/photo-1652549852977-2b79d7b854b3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzN3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,Medium,1080x1080,0.88,Easy,train,2026-03-15,v2.0,2026,dataset/working_images/36.jpg
37,38,https://images.unsplash.com/photo-1620772161696-e2e920ac31d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzOHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,Medium,1080x1080,0.94,Easy,train,2026-02-20,v2.0,2026,dataset/working_images/37.jpg
38,39,https://images.unsplash.com/photo-1652549852886-2229327e5130?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzOXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,Medium,1080x1080,0.9,Easy,train,2026-04-30,v2.0,2026,dataset/working_images/38.jpg
39,40,https://images.unsplash.com/photo-1718307874142-60e6f72e14a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0MHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,18-25,Unsplash,,High,1080x1080,0.9,Easy,train,2026-01-17,v2.0,2026,dataset/working_images/39.jpg
40,41,https://images.unsplash.com/photo-1680104073282-8462cdf70b6a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0MXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,36-50,Unsplash,,Medium,1080x1080,0.86,Easy,train,2026-03-07,v2.0,2026,dataset/working_images/40.jpg
43,44,https://images.unsplash.com/photo-1647058506318-b57fba286105?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0NHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,18-25,Unsplash,,High,1080x1080,0.92,Easy,train,2026-01-01,v2.0,2026,dataset/working_images/43.jpg
45,46,https://images.unsplash.com/photo-1662838496399-f8e312b566fc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0Nnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,Medium,1080x1080,0.95,Easy,train,2026-03-06,v2.0,2026,dataset/working_images/45.jpg
46,47,https://images.unsplash.com/photo-1648415041078-d5b259c683be?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0N3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,Medium,1080x1080,0.96,Easy,train,2026-01-23,v2.0,2026,dataset/working_images/46.jpg
47,48,https://images.unsplash.com/photo-1657682041043-d6cc9df38657?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0OHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,High,1080x1080,0.95,Easy,train,2026-01-05,v2.0,2026,dataset/working_images/47.jpg
48,49,https://images.unsplash.com/photo-1725270467347-ef96c6e0c0d7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0OXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,26-35,Unsplash,,Medium,1080x1080,0.88,Easy,train,2026-03-17,v2.0,2026,dataset/working_images/48.jpg
49,50,https://images.unsplash.com/photo-1717850654944-b6d2d5c3a910?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1MHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,50+,Unsplash,,Medium,1080x1080,0.86,Easy,train,2026-04-22,v2.0,2026,dataset/working_images/49.jpg
50,51,https://images.unsplash.com/photo-1761961851855-575e74ccfa30?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1MXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,High,1080x1080,0.87,Easy,train,2026-01-30,v2.0,2026,dataset/working_images/50.jpg
51,52,https://images.unsplash.com/photo-1626764332993-0a505cbc6a5c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1Mnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,High,1080x1080,0.88,Easy,train,2026-03-13,v2.0,2026,dataset/working_images/51.jpg
52,53,https://images.unsplash.com/photo-1740855597684-719a84c8f2d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1M3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,18-25,Unsplash,,Medium,1080x1080,0.93,Easy,train,2026-02-08,v2.0,2026,dataset/working_images/52.jpg
53,54,https://images.unsplash.com/photo-1567226028592-471d722e26ef?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1NHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.96,Easy,train,2026-02-28,v2.0,2026,dataset/working_images/53.jpg
54,55,https://images.unsplash.com/photo-1666011312995-e7a0cce85699?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1NXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,36-50,Unsplash,,High,1080x1080,0.88,Easy,train,2026-02-02,v2.0,2026,dataset/working_images/54.jpg
56,57,https://images.unsplash.com/photo-1585950689374-86d54b0efd6c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1N3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,50+,Unsplash,,High,1080x1080,0.9,Easy,train,2026-01-12,v2.0,2026,dataset/working_images/56.jpg
57,58,https://images.unsplash.com/photo-1555474488-63096355d324?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1OHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,Medium,1080x1080,0.97,Easy,train,2026-04-12,v2.0,2026,dataset/working_images/57.jpg
58,59,https://images.unsplash.com/photo-1685564179811-acb4ede4f228?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1OXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,26-35,Unsplash,,Medium,1080x1080,0.98,Easy,train,2026-02-04,v2.0,2026,dataset/working_images/58.jpg
59,60,https://images.unsplash.com/photo-1658500170826-83333c343727?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2MHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.86,Easy,train,2026-02-09,v2.0,2026,dataset/working_images/59.jpg
60,61,https://images.unsplash.com/photo-1748145210732-b75109742f14?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2MXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.85,Easy,train,2026-04-28,v2.0,2026,dataset/working_images/60.jpg
61,62,https://images.unsplash.com/photo-1588427949851-60099e293113?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2Mnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.87,Easy,train,2026-02-08,v2.0,2026,dataset/working_images/61.jpg
62,63,https://images.unsplash.com/photo-1555101863-4af4500fbc08?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2M3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,36-50,Unsplash,,High,1080x1080,0.95,Easy,train,2026-01-23,v2.0,2026,dataset/working_images/62.jpg
64,65,https://images.unsplash.com/photo-1731569120301-6dbd8eaf7cca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2NXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,High,1080x1080,0.91,Easy,train,2026-01-02,v2.0,2026,dataset/working_images/64.jpg
67,68,https://images.unsplash.com/photo-1770432052811-cf01f205a6b8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2OHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.98,Easy,train,2026-04-15,v2.0,2026,dataset/working_images/67.jpg
68,69,https://images.unsplash.com/photo-1735063456221-91dcb101285b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw2OXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.94,Easy,train,2026-04-21,v2.0,2026,dataset/working_images/68.jpg
69,70,https://images.unsplash.com/photo-1631909112399-f295a25e3a8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw3MHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,50+,Unsplash,,High,1080x1080,0.98,Easy,train,2026-02-06,v2.0,2026,dataset/working_images/69.jpg
70,71,https://images.unsplash.com/photo-1725270467420-2981da624bf9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw3MXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,50+,Unsplash,,High,1080x1080,0.87,Easy,train,2026-02-05,v2.0,2026,dataset/working_images/70.jpg
72,73,https://images.unsplash.com/photo-1777103329028-5e181ceb7e51?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw3M3x8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzE3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,50+,Unsplash,,Medium,1080x1080,0.98,Easy,train,2026-04-01,v2.0,2026,dataset/working_images/72.jpg
